UTC,Open,High,Low,Close,Volume
16.12.2018 23:00:00.000 UTC,51.235,51.365,51.235,51.275,0.134099
17.12.2018 00:00:00.000 UTC,51.285,51.435,51.175,51.395,0.203051
17.12.2018 01:00:00.000 UTC,51.395,51.465,51.235,51.255,0.363044
17.12.2018 02:00:00.000 UTC,51.255,51.315,51.125,51.285,0.733018
17.12.2018 03:00:00.000 UTC,51.275,51.325,51.245,51.265,0.304946
17.12.2018 04:00:00.000 UTC,51.255,51.365,51.255,51.355,0.21784
17.12.2018 05:00:00.000 UTC,51.355,51.355,51.205,51.225,0.310903
17.12.2018 06:00:00.000 UTC,51.225,51.275,51.145,51.255,0.383048
17.12.2018 07:00:00.000 UTC,51.255,51.325,51.145,51.165,0.598707
17.12.2018 08:00:00.000 UTC,51.165,51.295,51.045,51.155,1.60851
17.12.2018 09:00:00.000 UTC,51.155,51.225,51.105,51.195,0.845054
17.12.2018 10:00:00.000 UTC,51.195,51.735,51.175,51.635,1.433356
17.12.2018 11:00:00.000 UTC,51.635,51.685,51.515,51.665,1.048425
17.12.2018 12:00:00.000 UTC,51.665,51.835,51.605,51.635,1.135064
17.12.2018 13:00:00.000 UTC,51.635,51.645,51.195,51.415,1.764024
17.12.2018 14:00:00.000 UTC,51.425,51.425,51.005,51.205,2.488271
17.12.2018 15:00:00.000 UTC,51.215,51.215,50.175,50.705,2.87641
17.12.2018 16:00:00.000 UTC,50.695,50.825,49.855,50.329,2.807661
17.12.2018 17:00:00.000 UTC,50.335,50.476,50.125,50.345,1.010016
17.12.2018 18:00:00.000 UTC,50.325,50.428,49.918,50.16,1.099224
17.12.2018 19:00:00.000 UTC,50.16,50.23,49.07,49.425,1.122811
17.12.2018 20:00:00.000 UTC,49.415,49.445,49.035,49.205,0.26227
17.12.2018 21:00:00.000 UTC,49.205,49.305,49.005,49.12,0.112896
17.12.2018 23:00:00.000 UTC,49.115,49.315,49.04,49.305,0.108754
18.12.2018 00:00:00.000 UTC,49.31,49.465,49.245,49.445,0.085554
18.12.2018 01:00:00.000 UTC,49.448,49.56,49.295,49.4,0.230076
18.12.2018 02:00:00.000 UTC,49.395,49.412,49.305,49.35,0.093996
18.12.2018 03:00:00.000 UTC,49.35,49.371,49.127,49.241,0.147294
18.12.2018 04:00:00.000 UTC,49.225,49.24,49.125,49.171,0.09891
18.12.2018 05:00:00.000 UTC,49.155,49.182,48.823,48.835,0.22239
18.12.2018 06:00:00.000 UTC,48.825,49.035,48.73,49.005,0.255866
18.12.2018 07:00:00.000 UTC,48.98,49.186,48.735,48.825,0.359856
18.12.2018 08:00:00.000 UTC,48.825,49.117,48.75,48.825,0.441756
18.12.2018 09:00:00.000 UTC,48.8,48.815,47.818,48.325,0.66219
