p,q,type,variable,value,se,pval
0,0,fit,N,17519,,
0,0,fit,ll,18230.13868376325,,
0,0,fit,AIC,-36420.27736752651,,
0,0,fit,BIC,-36264.85654182179,,
0,0,lbq_std,L1,10289.6200320289,,0
0,0,lbq_sq,L1,18.90545750560326,,.0000137359148626
0,0,lbq_std,L2,17820.77195493546,,0
0,0,lbq_sq,L2,18.91389898024287,,.0000781446086937
0,0,lbq_std,L3,23478.35451399831,,0
0,0,lbq_sq,L3,21.33241720239353,,.0000897993258059
0,0,lbq_std,L4,27948.55412859967,,0
0,0,lbq_sq,L4,28.34445738132991,,.0000106201014045
0,0,lbq_std,L5,31713.96424226532,,0
0,0,lbq_sq,L5,28.83525292539922,,.0000249784614555
0,0,lbq_std,L10,46589.43115158239,,0
0,0,lbq_sq,L10,39.88854989338355,,.0000177277835107
0,0,lbq_std,L15,58288.96143251257,,0
0,0,lbq_sq,L15,69.5605867531772,,5.34866030329e-09
0,0,lbq_std,L20,66416.42006722506,,0
0,0,lbq_sq,L20,73.46125493242107,,4.90923082453e-08
0,0,coef,_cons,.8511895910187912,.1050709474616708,4.44089209850e-16
0,0,coef,wind_log,-.0500229958800925,.0021736738143478,0
0,0,coef,hydro_log_ds,-.0996463183448502,.0239118989642326,.0000308327009861
0,0,coef,consump_log_ds,.5592592144188639,.0418605538864765,0
0,0,coef,oil_log,.0511641433816372,.0240953032925984,.03371973436831
0,0,coef,gas_log,-.2410050701334702,.0184756918582968,0
0,0,coef,netexch_fi,-.0000356860430121,3.24683390166e-06,0
0,0,coef,netexch_no4,-.000017396372595,4.10274684367e-06,.000022334365412
0,0,coef,netexch_se2,-.0000588490712623,3.06437199437e-06,0
0,0,var_coef,omega,-2.330175185403255,2.591551065476932,.3685764585144455
0,0,var_coef,arch1,.9276944310419332,.0139571650016416,0
0,0,var_coef,garch1,.018953577320336,.0080315697014394,.0182806227686905
0,0,var_coef,het_wind_log,-.2470752138795916,.0534962377759711,3.86425131915e-06
0,0,var_coef,het_hydro_log_ds,-.2625241493232481,.2925810844508051,.3695750070637271
0,0,var_coef,het_consump_log_ds,1.806820391628401,1.027192257019132,.0785792925062452
0,0,var_coef,het_oil_log,-.844246558825145,.5570412903251556,.1296228984207528
0,0,var_coef,het_gas_log,.071132414636828,.3609032587625433,.843752790964621
0,0,var_coef,het_netexch_fi,-.0005023556230509,.0000801636813557,3.68960417774e-10
0,0,var_coef,het_netexch_no4,-.0002595167896512,.0001966029120906,.1868334120040356
0,0,var_coef,het_netexch_se2,-.0001165400495697,.0001059403579406,.2713088616391384
0,0,var_coef,persistence,.9466480083622691,,
