p,q,type,variable,value,se,pval
0,0,fit,N,8736.0,,
0,0,fit,ll,2699.999317195111,,
0,0,fit,AIC,-5355.998634390222,,
0,0,fit,BIC,-5200.344065034559,,
0,0,lbq_std,L1,4972.938426520739,,0.0
0,0,lbq_sq,L1,14.56466056239792,,0.0001354307717226
0,0,lbq_std,L2,8362.149986320954,,0.0
0,0,lbq_sq,L2,14.95203226812443,,0.0005665098251406
0,0,lbq_std,L3,10873.11633206957,,0.0
0,0,lbq_sq,L3,17.12495333580297,,0.0006661288067663
0,0,lbq_std,L4,12888.0338406336,,0.0
0,0,lbq_sq,L4,19.59525117915462,,0.0006001689659745
0,0,lbq_std,L5,14535.08897334353,,0.0
0,0,lbq_sq,L5,21.65064472543011,,0.0006100139509323
0,0,lbq_std,L10,20832.7247819958,,0.0
0,0,lbq_sq,L10,28.40093497911072,,0.0015566823009927
0,0,lbq_std,L15,25185.42819361102,,0.0
0,0,lbq_sq,L15,30.25864063204438,,0.0110222882516438
0,0,lbq_std,L20,28374.84262225707,,0.0
0,0,lbq_sq,L20,35.39355808322586,,0.0181056310525817
0,0,coef,_cons,1.872188014105005,0.4084444753141863,4.56813783978e-06
0,0,coef,wind_log,-0.2371004005904475,0.0159966488126954,0.0
0,0,coef,hydro_log_ds,0.0128673467658172,0.1198888672721435,0.9145293383337548
0,0,coef,consump_log_ds,1.153117442964368,0.1093183075546615,0.0
0,0,coef,oil_log,-0.2994622537412625,0.11658093088692,0.0102078724491077
0,0,coef,gas_log,0.2056019533556347,0.0693699227108348,0.0030381765287264
0,0,coef,netexch_no3,-7.19148605968e-05,6.1534512706e-06,0.0
0,0,coef,netexch_no4,-6.83138119234e-05,1.12659661786e-05,1.32997790558e-09
0,0,coef,netexch_se1,-7.97316156617e-05,6.753785533e-06,0.0
0,0,coef,netexch_se3,-6.8363491324e-05,6.32126034367e-06,0.0
0,0,var_coef,omega,5.147106782441554,4.134438390157234,0.2131556685861766
0,0,var_coef,arch1,0.9480501655636684,0.022940780943722,0.0
0,0,var_coef,garch1,0.0158044977817329,0.0120921959456654,0.1912127766234388
0,0,var_coef,het_wind_log,-1.016773110671018,0.0525043612303777,0.0
0,0,var_coef,het_hydro_log_ds,-1.634979061602812,0.9750623919597862,0.0935827126248763
0,0,var_coef,het_consump_log_ds,2.261763423415398,1.380222857684251,0.1012769275932845
0,0,var_coef,het_oil_log,-0.4155790174676476,1.342508317612916,0.7569000296897006
0,0,var_coef,het_gas_log,-0.8102361887400034,0.6031065320889755,0.1791302131439396
0,0,var_coef,het_netexch_no3,-0.0001482295038821,0.0001220835530076,0.2246849519070331
0,0,var_coef,het_netexch_no4,-0.0003311894197103,0.0002668520567058,0.2145697340139818
0,0,var_coef,het_netexch_se1,-0.0003015216989312,0.0001154351384751,0.0090002582932864
0,0,var_coef,het_netexch_se3,-0.0003606725978617,6.53472807566e-05,3.40312671376e-08
0,0,var_coef,persistence,0.9638546633454012,,
0,1,fit,N,8736.0,,
0,1,fit,ll,5291.448072676556,,
0,1,fit,AIC,-10536.89614535311,,
0,1,fit,BIC,-10374.16636829946,,
0,1,lbq_std,L1,2317.750162974271,,0.0
0,1,lbq_sq,L1,2.651400187033328,,0.1034587321226377
0,1,lbq_std,L2,5778.672530915986,,0.0
0,1,lbq_sq,L2,21.14832217315315,,2.55682020341e-05
0,1,lbq_std,L3,7130.151507601137,,0.0
0,1,lbq_sq,L3,27.48786697317982,,4.65170069482e-06
0,1,lbq_std,L4,9018.739464518589,,0.0
0,1,lbq_sq,L4,27.49832003822474,,1.57609706525e-05
0,1,lbq_std,L5,9969.85498206396,,0.0
0,1,lbq_sq,L5,31.74584778236001,,6.67094630007e-06
0,1,lbq_std,L10,14722.4375682924,,0.0
0,1,lbq_sq,L10,36.71624439919638,,6.33588830045e-05
0,1,lbq_std,L15,17996.09959708783,,0.0
0,1,lbq_sq,L15,37.21010601571824,,0.0011790721607893
0,1,lbq_std,L20,20266.63167724923,,0.0
0,1,lbq_sq,L20,40.96964866340991,,0.003758806300731
0,1,coef,_cons,2.043051823426177,0.2906350312628192,2.0710100301400003e-12
0,1,coef,wind_log,-0.2455510684742291,0.0092171080442778,0.0
0,1,coef,hydro_log_ds,-0.1430031518250048,0.0908934413150035,0.1156480946714078
0,1,coef,consump_log_ds,1.143232677547681,0.0757631891645373,0.0
0,1,coef,oil_log,-0.3417299374631392,0.0926268204053348,0.0002248546670478
0,1,coef,gas_log,0.2128544244155683,0.0499976828907852,2.06923776758e-05
0,1,coef,netexch_no3,-7.76972466841e-05,5.28175373357e-06,0.0
0,1,coef,netexch_no4,-7.59702031844e-05,6.68449447253e-06,0.0
0,1,coef,netexch_se1,-8.80797641937e-05,4.96554375873e-06,0.0
0,1,coef,netexch_se3,-7.72559521712e-05,5.93495453521e-06,0.0
0,1,coef,ma_L1,0.7101982572715557,0.0058181851254607,0.0
0,1,var_coef,omega,1.521065801366362,3.970537215597651,0.7016543972071787
0,1,var_coef,arch1,0.5880467897190746,0.0231401318259814,0.0
0,1,var_coef,garch1,0.3275187723598879,0.0184080971935975,0.0
0,1,var_coef,het_wind_log,-0.8914393738892421,0.0612602905024554,0.0
0,1,var_coef,het_hydro_log_ds,-1.877306350354447,0.9208024119517326,0.0414727690312668
0,1,var_coef,het_consump_log_ds,3.863670014892721,1.250366693391534,0.002001365910745
0,1,var_coef,het_oil_log,0.1864908253981549,1.309130003709133,0.8867213994423788
0,1,var_coef,het_gas_log,-0.7917985504478169,0.6543218973159838,0.2262383990616217
0,1,var_coef,het_netexch_no3,-1.81390232771e-05,0.0001317171673384,0.8904681027707029
0,1,var_coef,het_netexch_no4,-0.0001839636814358,0.0003032894891942,0.544142057705884
0,1,var_coef,het_netexch_se1,-0.0001501582142369,0.000142684400677,0.2926252259527979
0,1,var_coef,het_netexch_se3,-0.0002657651130453,6.82773621914e-05,9.92435809772e-05
0,1,var_coef,persistence,0.9155655620789626,,
0,2,fit,N,8736.0,,
0,2,fit,ll,6830.382122616937,,
0,2,fit,AIC,-13612.76424523387,,
0,2,fit,BIC,-13442.95926048224,,
0,2,lbq_std,L1,949.009540143535,,2.1779357489e-208
0,2,lbq_sq,L1,1.390491943630526,,0.2383220397079391
0,2,lbq_std,L2,2714.044842773058,,0.0
0,2,lbq_sq,L2,1.927554275327983,,0.381449374720771
0,2,lbq_std,L3,4489.933116975643,,0.0
0,2,lbq_sq,L3,2.221140782071677,,0.5277963094297666
0,2,lbq_std,L4,5022.428442719993,,0.0
0,2,lbq_sq,L4,4.749594969156598,,0.3139686412713866
0,2,lbq_std,L5,6199.881406319137,,0.0
0,2,lbq_sq,L5,4.953586889779898,,0.421570761570646
0,2,lbq_std,L10,9369.453228916433,,0.0
0,2,lbq_sq,L10,7.595551606522499,,0.6682758672444546
0,2,lbq_std,L15,11733.66095791184,,0.0
0,2,lbq_sq,L15,8.22152614431084,,0.914594481631898
0,2,lbq_std,L20,13323.61473994774,,0.0
0,2,lbq_sq,L20,10.29514275572315,,0.9624989892982876
0,2,coef,_cons,2.014345233738963,0.3130534644600672,1.23873356017e-10
0,2,coef,wind_log,-0.2453778256278463,0.0087382220656818,0.0
0,2,coef,hydro_log_ds,-0.1115206021975326,0.0802402362466869,0.1645793148673678
0,2,coef,consump_log_ds,1.071495296773239,0.0780616929042798,0.0
0,2,coef,oil_log,-0.3659150943610379,0.1052032737663896,0.0005048456315773
0,2,coef,gas_log,0.2412287980277611,0.0496410472120567,1.17704985625e-06
0,2,coef,netexch_no3,-8.29016002039e-05,5.28899158554e-06,0.0
0,2,coef,netexch_no4,-7.97420846267e-05,5.71430424033e-06,0.0
0,2,coef,netexch_se1,-8.26569652979e-05,4.76548326124e-06,0.0
0,2,coef,netexch_se3,-8.03092823614e-05,6.03600380172e-06,0.0
0,2,coef,ma_L1,1.027022368806028,0.0143679237793156,0.0
0,2,coef,ma_L2,0.5292270029625953,0.0081130226484415,0.0
0,2,var_coef,omega,-0.9118901521521487,3.85143956778074,0.8128382871133761
0,2,var_coef,arch1,0.4636322733041918,0.0237573354609786,0.0
0,2,var_coef,garch1,0.4024162833347553,0.0221856961419627,0.0
0,2,var_coef,het_wind_log,-0.8656354288677665,0.0601375342405007,0.0
0,2,var_coef,het_hydro_log_ds,-2.464305139592772,0.919265755969469,0.0073461320218049
0,2,var_coef,het_consump_log_ds,4.496250701055009,1.181581730984765,0.0001416432004566
0,2,var_coef,het_oil_log,0.8909016349933803,1.270889534848686,0.4832990519212637
0,2,var_coef,het_gas_log,-0.8709499316423569,0.5962532003506132,0.1440964620689384
0,2,var_coef,het_netexch_no3,2.03876549918e-05,0.0001144797746398,0.8586526251266522
0,2,var_coef,het_netexch_no4,-0.0001219605662053,0.0003045712677456,0.6888371878579445
0,2,var_coef,het_netexch_se1,-0.0001001090367348,0.0001389000061825,0.4710772667083427
0,2,var_coef,het_netexch_se3,-0.0001485176570495,8.96869521023e-05,0.0977307057223893
0,2,var_coef,persistence,0.8660485566389471,,
0,3,fit,N,8736.0,,
0,3,fit,ll,7635.096371533872,,
0,3,fit,AIC,-15220.19274306774,,
0,3,fit,BIC,-15043.31255061813,,
0,3,lbq_std,L1,337.8322570294357,,1.89221652048e-75
0,3,lbq_sq,L1,0.4245911479888256,,0.514654995475386
0,3,lbq_std,L2,1209.066620382346,,2.8478640759e-263
0,3,lbq_sq,L2,0.4648481320316064,,0.792609933091887
0,3,lbq_std,L3,2299.875847081413,,0.0
0,3,lbq_sq,L3,0.4649034574106993,,0.9265314720847152
0,3,lbq_std,L4,3136.824811729626,,0.0
0,3,lbq_sq,L4,0.4698290593143691,,0.9763708761172668
0,3,lbq_std,L5,3358.532424560264,,0.0
0,3,lbq_sq,L5,1.128407204663418,,0.9515585416069844
0,3,lbq_std,L10,5834.285783324915,,0.0
0,3,lbq_sq,L10,1.354875336513055,,0.9993207243569652
0,3,lbq_std,L15,7404.54207260416,,0.0
0,3,lbq_sq,L15,1.894306420329978,,0.9999793348812646
0,3,lbq_std,L20,8486.242231414768,,0.0
0,3,lbq_sq,L20,3.851136321755201,,0.999965989427614
0,3,coef,_cons,1.987736071589831,0.3166778051769055,3.45522277456e-10
0,3,coef,wind_log,-0.2421215432399303,0.0093290745978169,0.0
0,3,coef,hydro_log_ds,-0.0920051860952734,0.0722102467373468,0.2026176207365922
0,3,coef,consump_log_ds,1.009713129244383,0.0783781032853559,0.0
0,3,coef,oil_log,-0.3561560902274763,0.102184047082082,0.0004913333361651
0,3,coef,gas_log,0.226111065207319,0.0477094452263948,2.14420276157e-06
0,3,coef,netexch_no3,-8.36190986645e-05,4.18564862202e-06,0.0
0,3,coef,netexch_no4,-8.13969577929e-05,4.57836014354e-06,0.0
0,3,coef,netexch_se1,-8.34968156391e-05,4.12289962095e-06,0.0
