type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,15746.73525817373,,,
fit,AIC,-31445.47051634746,,,
fit,BIC,-31275.66553159582,,,
lbq_std,L24,601.0722881220664,,1.4146742846e-111,***
lbq_sq,L24,201.2624095040234,,5.95689919787e-30,***
coef,_cons,-.9507257545168522,.3967475717114637,.0165615804032355,**
coef,wind_log,-.0163033274626338,.0043436062538954,.0001744464143079,***
coef,hydro_log_ds,-.0022171965310452,.0806622043985708,.9780709671089431,
coef,consump_log_ds,.2693987403419728,.0818174468128214,.0009923705190973,***
coef,oil_log,.2958518107776705,.0991076446026655,.0028343344723938,***
coef,gas_log,-.074407748794261,.0441192906643813,.0916970702098743,*
coef,netexch_fi,-.0000210891637308,4.70316913516e-06,7.32454643271e-06,***
coef,netexch_no4,-8.75582883161e-06,6.14127889542e-06,.1539451991681482,
coef,netexch_se2,-.0000418946169923,5.86763922268e-06,9.33697563710e-13,***
coef,dt,.0597409895026975,.0535763552592575,.2648236008630327,
coef,dt_wind,.0245723481262219,.0095277230042426,.0099076235094495,***
coef,ar_L1,.943614589120964,.0077779375417725,0,***
coef,ma_L1,.2453693330778404,.0328658759419748,8.28226376370e-14,***
var_coef,omega,6.146933554524601,3.978742581591834,.1223598655699076,
var_coef,arch1,.8289144925412584,.1087774167412522,2.53130849615e-14,***
var_coef,garch1,.1874299468933808,.0361100120639909,2.09701135567e-07,***
var_coef,het_wind_log,-.3494801684311006,.0528828083449057,3.88029608445e-11,***
var_coef,het_hydro_log_ds,.5242671342325672,.9419094609962294,.5778005156312707,
var_coef,het_consump_log_ds,3.016502729433601,1.332064034528647,.0235413633006938,**
var_coef,het_oil_log,-2.74415759439487,1.275352326675633,.0314221029184918,**
var_coef,het_gas_log,-.3049394417539605,.536015494478787,.5694237180287682,
var_coef,het_netexch_fi,-.0006224060979194,.0001103873169862,1.71653247172e-08,***
var_coef,het_netexch_no4,-.0003873208276954,.0002896480690051,.1811534977559728,
var_coef,het_netexch_se2,-.0006108518548775,.0001105546993122,3.28855727094e-08,***
var_coef,persistence,1.016344439434639,,,
elasticity,wind_normal,-.0163033274626338,,,
elasticity,wind_spike,.008269020663588,,,
