type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,17077.91266591837,,,
fit,AIC,-34111.82533183674,,,
fit,BIC,-33956.17076248107,,,
lbq_std,L24,583.5736260553726,,6.4534591523e-108,***
lbq_sq,L24,33.21990800549998,,.0995178232695316,*
coef,_cons,-.4002782548079477,.2421871261165257,.0983788265044172,*
coef,wind_log,-.0136901806669853,.00224399455456,1.05533404238e-09,***
coef,hydro_log_ds,.0435329960191977,.0676080580713967,.5196386758316189,
coef,consump_log_ds,.0838375114212609,.0349633556548809,.016490807128922,**
coef,oil_log,.0698343578421649,.0636698026431663,.2727197771518604,
coef,gas_log,.0298025769370636,.0347654014998942,.3913077441249222,
coef,netexch_fi,-.0000204685021105,1.83644458884e-06,0,***
coef,netexch_no4,-.0000275002681635,2.18295555730e-06,0,***
coef,netexch_se2,-.0000229467446885,1.78117737491e-06,0,***
coef,ar_L1,.9669174369183517,.0035361050024622,0,***
coef,ma_L1,.2430114991395573,.0104247804741385,0,***
var_coef,omega,-.6018038889352221,2.781328397447306,.8286971452836707,
var_coef,arch1,.6579922598778312,.0459107902707302,0,***
var_coef,garch1,.128377158261459,.0271894404369796,2.34017851719e-06,***
var_coef,het_wind_log,-.3894949339513587,.0387292009076911,0,***
var_coef,het_hydro_log_ds,-.0234303549935902,.700472610309094,.9733162543584715,
var_coef,het_consump_log_ds,2.671268538218097,1.001617406961812,.0076541922797031,***
var_coef,het_oil_log,-.7199646877668877,.9309870454404817,.4393242609986192,
var_coef,het_gas_log,-.7641193982486525,.4090312922549222,.0617453939081549,*
var_coef,het_netexch_fi,-.0006851540748882,.000055719353356,0,***
var_coef,het_netexch_no4,-.0001454066458767,.00012804563244,.2561304649220399,
var_coef,het_netexch_se2,-.0005596377179925,.0000598850969422,0,***
var_coef,persistence,.7863694181392902,,,
