type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,17613.87557111729,,,
fit,AIC,-35167.75114223457,,,
fit,BIC,-34955.49491129503,,,
lbq_std,L24,520.0740062781742,,1.12276868164e-94,***
lbq_sq,L24,64.60948951188279,,.0000138858540827,***
coef,_cons,-.3772107587063076,.2318709280119093,.1037767110258654,
coef,wind_log,-.0153220118842347,.0022614380647684,1.24114052369e-11,***
coef,hydro_log_ds,.0321760491130873,.069179080376981,.6418509560680536,
coef,consump_log_ds,.093734465638654,.0350161286552636,.0074308133958478,***
coef,oil_log,.0620609595603817,.0655968147959898,.3440990370318744,
coef,gas_log,.0345678573882424,.0333095482407836,.2993742457579542,
coef,netexch_fi,-.000019460200246,1.77723929060e-06,0,***
coef,netexch_no4,-.0000277760465224,2.20306910381e-06,0,***
coef,netexch_se2,-.0000223826148206,1.78289007653e-06,0,***
coef,dt,.0276242140485415,.1001995839435557,.7827847146358777,
coef,dt_wind,.0215851478821888,.0188112940731355,.2511928648758426,
coef,dl,-.0223140033741237,.0169531076916597,.1881005301034395,
coef,dl_wind,-.0013991486025129,.0024356953744238,.5656734935666003,
coef,ar_L1,.9589008341784602,.0036156268943011,0,***
coef,ma_L1,.2037118745181326,.0110079794083071,0,***
var_coef,omega,-3.198875071745487,2.496538713576982,.2000798721750625,
var_coef,arch1,.5072730013073558,.0462092961446435,0,***
var_coef,garch1,.1053067498135764,.0434833125030938,.0154449582891796,**
var_coef,het_wind_log,-.3220288398833309,.0409781485392393,3.99680288865e-15,***
var_coef,het_hydro_log_ds,.3302743049140161,.6306541636182708,.6004864220723176,
var_coef,het_consump_log_ds,1.300401698343628,.9134457856337956,.1545558660937862,
var_coef,het_oil_log,-.2583722396102794,.8307649244754731,.7557966427751572,
var_coef,het_gas_log,-.6447015062551334,.3715424292084583,.0827048703485003,*
var_coef,het_netexch_fi,-.0005790920326334,.0000528278688516,0,***
var_coef,het_netexch_no4,-.0001469842297345,.0001272044108893,.2478872353039376,
var_coef,het_netexch_se2,-.0004311748693231,.0000543960978798,2.22044604925e-15,***
var_coef,het_dt,-.2554333098858907,.6824974423171811,.7082089078617844,
var_coef,het_dt_wind,.3596347760703006,.1342436359077031,.0073848841132371,***
var_coef,het_dl,.0311348866465304,.939721510288585,.9735692959561597,
var_coef,het_dl_wind,.0173753098697809,.1358045491355758,.898193682758045,
var_coef,persistence,.6125797511209321,,,
elasticity,wind_normal,-.0153220118842347,,,
elasticity,wind_spike,.0062631359979541,,,
elasticity,wind_low,-.0167211604867476,,,
