type,variable,value,se,pval,stars
fit_step1,AIC,-10588.95279993844,,,
fit_step1,BIC,-10489.89989216665,,,
fit_step2,AIC,-13016.57163706186,,,
fit_step2,BIC,-12924.59393698806,,,
lbq_std,L24,198.5769653397238,,1.97101133451e-29,***
lbq_sq,L24,180.905389415819,,4.91985360858e-26,***
coef,_cons,2.201411272170218,.9705693199115922,.0233191574348801,**
coef,wind_log,-.138881317260609,.0148874996267915,0,***
coef,hydro_log_ds,-.4887597709534897,.3072251968728966,.1116355954556116,
coef,consump_log_ds,1.598588175893088,.1858470001383527,0,***
coef,oil_log,-.4091640744436966,.3262532604336084,.2097946765082932,
coef,gas_log,.114301196330401,.1486207025337082,.4418458745193639,
coef,netexch_dk1,-.0000837320482166,.0000119090638524,2.05124806030e-12,***
coef,netexch_fi,1.26830405334e-06,8.29233610601e-06,.8784385379673656,
coef,netexch_no1,-.0000263092648215,6.18559140414e-06,.0000210629548454,***
coef,netexch_se2,-.0000250557208506,5.36828888858e-06,3.05098915310e-06,***
coef,netexch_se4,-.0000440919753579,4.69868679594e-06,0,***
coef,ar_L1,.9096276283899912,.0083222603070048,0,***
coef,ma_L1,.1004597015800516,.0188496979163636,9.84767165590e-08,***
var_coef,omega,-10.83919740534406,2.170611247193297,5.92593986770e-07,***
var_coef,arch1,.2188602913778188,.0508332975892943,.0000166645587896,***
var_coef,garch1,.4042727593887507,.0993715132823759,.000047358137117,***
var_coef,het_wind_log,-.0375473157166922,.040001814330576,.3479154452474587,
var_coef,het_hydro_log_ds,.0918958286408631,.7781186637413359,.9059884087357553,
var_coef,het_consump_log_ds,-1.395131606777127,.5882350950907338,.0177052853142579,**
var_coef,het_oil_log,1.283795191781134,.745249040548537,.084953796197796,*
var_coef,het_gas_log,.3767341985686574,.3462947336069716,.2766390548479905,
var_coef,het_netexch_dk1,-.0001007891523729,.000089458700782,.2598880924263893,
var_coef,het_netexch_fi,-.0001047556296008,.0000531180959173,.0485951137575371,**
var_coef,het_netexch_no1,.0000654329055034,.0000709162815634,.3561749409255368,
var_coef,het_netexch_se2,-6.85116048179e-06,.0000442087710741,.8768426992561023,
var_coef,het_netexch_se4,.0002877589699756,.0000455606316638,2.68495448097e-10,***
var_coef,persistence,.6231330507665696,,,
