type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,6881.534054814038,,,
fit,AIC,-13707.06810962808,,,
fit,BIC,-13508.96229408451,,,
lbq_std,L24,133.5473798049667,,3.52178426288e-17,***
lbq_sq,L24,159.5236658213036,,5.51998002197e-22,***
coef,_cons,1.325617456924882,.949502902080298,.1626791658292657,
coef,wind_log,-.1112700513546724,.0115119148049038,0,***
coef,hydro_log_ds,-.4441446154295833,.2857049782003576,.1200516601582049,
coef,consump_log_ds,1.185402309732861,.1292767847582177,0,***
coef,oil_log,-.1412270595731747,.2928177695247511,.6295903019510962,
coef,gas_log,.038240464506939,.1454898904409106,.7926744243709001,
coef,netexch_dk1,-.000059737557466,8.57949994853e-06,3.33510996597e-12,***
coef,netexch_fi,-.0000179245253369,6.47311180358e-06,.0056215872377867,***
coef,netexch_no1,-.0000446292266677,5.31911460911e-06,0,***
coef,netexch_se2,-.000046535015574,4.89005332221e-06,0,***
coef,netexch_se4,-.000039947380236,3.87864948984e-06,0,***
coef,dt_wind,.020567113565858,.0014142445708262,0,***
coef,ar_L1,.9515012540980802,.00401270031572,0,***
coef,ma_L1,.1397241984214468,.0126623287425197,0,***
var_coef,omega,-10.02364179100201,2.263985263381187,9.53614285804e-06,***
var_coef,arch1,.1607992603160392,.0455121532318852,.0004107078098758,***
var_coef,garch1,.4930003080612193,.1068109314131085,3.91894578344e-06,***
var_coef,het_wind_log,-.0427655018804174,.0464018477869568,.3567197277804368,
var_coef,het_hydro_log_ds,-.0214732007710127,.8247230444791158,.9792279361333036,
var_coef,het_consump_log_ds,-1.543511040701908,.6654731208719188,.0203723251501651,**
var_coef,het_oil_log,.8077139849637134,.773455447564693,.2963499251063795,
var_coef,het_gas_log,.7013225356851581,.3629372380771845,.053316061406028,*
var_coef,het_netexch_dk1,-.0000902185922293,.0000971359835445,.3529997311600486,
var_coef,het_netexch_fi,-.0001024562065996,.0000589228060816,.0820662714380389,*
var_coef,het_netexch_no1,.0000985798262151,.0000797879289904,.2166358994600528,
var_coef,het_netexch_se2,-.0000136542020276,.0000524213507196,.7945010649846991,
var_coef,het_netexch_se4,.0003386442522551,.0000522541526956,9.12891984228e-11,***
var_coef,het_dt_wind,-.0279013652364611,.0220101859975944,.2049204850143778,
var_coef,persistence,.6537995683772584,,,
elasticity,wind_normal,-.1112700513546724,,,
elasticity,wind_spike,-.0907029377888143,,,
