type,variable,value,se,pval,stars
fit,N,17519,,,
fit,ll,21129.02429609054,,,
fit,AIC,-42224.04859218108,,,
fit,BIC,-42091.94089033207,,,
lbq_std,L24,892.873893746422,,4.6979991780e-173,***
lbq_sq,L24,599.7769179519498,,2.6404099987e-111,***
coef,_cons,1.416581891522074,.4434762837411977,.0014018614145681,***
coef,wind_log,-.076597744249413,.006957406845487,0,***
coef,hydro_log_ds,-.1249041335588727,.0922251547710886,.1756282156773068,
coef,consump_log_ds,.5244653614700689,.044272361256543,0,***
coef,oil_log,-.0386480755841818,.0921485776919154,.6749161949735265,
coef,gas_log,-.2121502646025947,.0558338989205506,.0001448902141501,***
coef,netexch_dk1,-.0000264164891622,4.71338700447e-06,2.08777271027e-08,***
coef,netexch_fi,-5.58700610762e-06,4.30731012688e-06,.1945972494196535,
coef,netexch_no1,-.0000235984799957,3.82405603831e-06,6.78335831950e-10,***
coef,netexch_se2,-.000016539607495,3.29813874290e-06,5.30801770093e-07,***
coef,netexch_se4,-.000031708762554,3.11347173559e-06,0,***
coef,ar_L1,.9338661086956619,.005675013595934,0,***
coef,ma_L1,.2227481809703186,.010673505805065,0,***
var_coef,omega,-5.138886752408364,.246437919716805,0,***
var_coef,arch1,.3832100639863729,.0439652371624527,0,***
var_coef,garch1,.3022773469919512,.0586486245316745,2.54933753219e-07,***
var_coef,het_wind,-.1411993607381156,.0329525872833984,.0000182800953068,***
var_coef,persistence,.6854874109783241,,,
