type,variable,value,se,pval,stars
fit,N,17519,,,
fit,ll,15854.97569087485,,,
fit,AIC,-31661.9513817497,,,
fit,BIC,-31475.44639090404,,,
lbq_std,L24,515.9476567821184,,8.09866300535e-94,***
lbq_sq,L24,232.8042832691876,,4.11431576826e-36,***
coef,_cons,.4327280597723323,.4583235900402484,.3450909479559214,
coef,wind_log,-.0794302681349802,.0068005153472955,0,***
coef,hydro_log_ds,-.1819644088643173,.0788699700722885,.0210467721016938,**
coef,consump_log_ds,.6255153050000151,.0511019592387594,0,***
coef,oil_log,.049666273162537,.0942889685822533,.5983704574760389,
coef,gas_log,-.0500460127553716,.0530054828590799,.3450844601440266,
coef,netexch_dk2,-7.32915105572e-06,4.13225884695e-06,.0761222572495825,*
coef,netexch_ger,-.0000128423674612,6.32880432699e-06,.0424386037435209,**
coef,netexch_pl,-.0000197121988966,6.85669030425e-06,.0040417415800611,***
coef,netexch_se3,6.50674287642e-06,3.07845633651e-06,.034546181490843,**
coef,ar_L1,.9167538995286582,.0054744065983022,0,***
coef,ma_L1,.1560081419591951,.0111514690034704,0,***
var_coef,omega,-12.72412279300102,3.511214042380814,.0002902468477495,***
var_coef,arch1,.0550123687952649,.0077948400253212,1.69486646939e-12,***
var_coef,garch1,.9293277184005173,.0096741044531851,0,***
var_coef,het_wind_log,-.3149532241418511,.0705415495372081,8.01472217993e-06,***
var_coef,het_hydro_log_ds,1.68560985595977,.6802096408036833,.0132093729131257,**
var_coef,het_consump_log_ds,-1.756208006618722,.9320527806958511,.0595329725016649,*
var_coef,het_oil_log,1.442879773770027,.7165334774845226,.0440415810157451,**
var_coef,het_gas_log,.2440770480891986,.3895261157617663,.5309214953394545,
var_coef,het_netexch_dk2,-.0002961881925494,.0002344809174922,.2065297282633158,
var_coef,het_netexch_ger,-.0008480397519764,.0005220813100648,.1043023672433634,
var_coef,het_netexch_pl,-.0000442343548747,.000324178438929,.8914650445070706,
var_coef,het_netexch_se3,-.0004556970824389,.0000980188150444,3.33422678089e-06,***
var_coef,persistence,.9843400871957821,,,
