type,variable,value,se,pval,stars
fit,N,17519,,,
fit,ll,15736.21668805894,,,
fit,AIC,-31452.43337611789,,,
fit,BIC,-31374.72296326553,,,
lbq_std,L24,433.3259203226908,,1.04583806964e-76,***
lbq_sq,L24,195.2738505676508,,8.56470458645e-29,***
coef,_cons,.7186452451803482,.0511600070736168,0,***
coef,wind_log,-.0976272763380619,.0073079602230515,0,***
coef,consump_log_ds,.6531597858953284,.0517658417642521,0,***
coef,net_exchange,-.0000598215315312,.0000117333111978,3.42472002313e-07,***
coef,ar_L1,.9251930824212862,.006104415643573,0,***
coef,ma_L1,.1430892353056795,.011532713399539,0,***
var_coef,omega,-8.782527724271841,.6196534372526474,0,***
var_coef,arch1,.0518364702040346,.0071747543414254,5.01598762526e-13,***
var_coef,garch1,.9441222503819584,.007506892317191,0,***
var_coef,het_wind_log,-.085366782136662,.0990854646059995,.3889368616592759,
var_coef,persistence,.995958720585993,,,
