type,variable,value,se,pval,stars
fit,AIC,-21620.67149774718,,,
fit,BIC,-21465.01692839152,,,
coef,_cons,.3767010514597169,.0606846732163158,5.38287858731e-10,***
coef,wind_log,-.0898213863768515,.0086636334996509,0,***
coef,consump_log_ds,.1852834081669805,.0816978415850924,.0233346507467036,**
coef,d_congested,-.0737238774294946,.0272016704224363,.0067228411193547,***
coef,wind_cong,.0075807418657628,.0034863447669077,.0296743805436988,**
coef,netexch_no3,-.0000572905611515,3.27857839751e-06,0,***
coef,netexch_no4,-.0000596070679413,3.69296010622e-06,0,***
coef,netexch_se1,-.0000534348448747,3.34840756008e-06,0,***
coef,netexch_se3,-.0000504802572571,2.92161058758e-06,0,***
