type,variable,value,se,pval,stars
fit,N,8736,,,
fit,ll,5292.149498545836,,,
fit,AIC,-10542.29899709167,,,
fit,BIC,-10393.71963543399,,,
fit,Q_std,77.68633126313745,,1.41556970489e-07,
fit,Q_sq,201.7668190121722,,4.75682278046e-30,
coef,_cons,.6850229017232088,.0960145225349569,9.70779012732e-13,***
coef,wind_log,-.06816954651014,.0102174690097561,2.52577958548e-11,***
coef,consump_log_ds,1.267754516026342,.1296966582305177,0,***
coef,north_wind_log,-.0347849644031074,.0113129190441844,.0021064369782555,***
coef,netexch_dk2,-.0000430362298341,7.87808683489e-06,4.68743872606e-08,***
coef,netexch_ger,-.0000477326129463,.0000107408324564,8.82880895769e-06,***
coef,netexch_pl,-.0000416266589292,.0000119294005875,.0004840744915866,***
coef,netexch_se3,5.62669902490e-06,4.29448681046e-06,.1901232711322991,
coef,ar_L1,1.897047772580948,.0430722658278423,0,***
coef,ar_L2,-1.076376377926288,.0485557915689262,0,***
coef,ar_L3,.1714204933099082,.0117440024592291,0,***
coef,ma_L1,-.8020136955812793,.0431221232810643,0,***
var_coef,omega,-3.526337452180541,.2591484220213116,0,***
var_coef,arch1,.2689705191251178,.0369811501846929,3.51052520386e-13,***
var_coef,garch1,.3468805105602826,.0681237626988533,3.54462232677e-07,***
var_coef,het_wind_log,-.0590354710418389,.0351722203293039,.0932556352434071,*
var_coef,het_consump_log_ds,-1.432506645796259,.5683197110432844,.0117154954724881,**
var_coef,het_netexch_dk2,.0001034873195439,.0000937994818531,.2699045376111955,
var_coef,het_netexch_ger,-.0006714245772509,.0001335743393086,4.99256028741e-07,***
var_coef,het_netexch_pl,-.0000518735737524,.0001244132962677,.6767182145912294,
var_coef,het_netexch_se3,-.0003866492819328,.0000396000102268,0,***
var_coef,persistence,.6158510296854005,,,
