sample,variable,value,se,pval,stars
lowsep,_cons,1.671803024349713,.0538293680161716,3.3229469437e-180,***
lowsep,wind_log,-.2198288127873629,.0073936154861528,2.6089231427e-167,***
lowsep,consump_log_ds,4.113492874842107,.1700133184888647,9.8495425188e-117,***
lowsep,N,2584,,,
lowsep,R2,.4400380085548836,,,
highsep,_cons,1.447481174524902,.0387363050168628,1.3502967186e-275,***
highsep,wind_log,-.2067318707685307,.0050521017875727,0,***
highsep,consump_log_ds,1.907777884570916,.076626165205081,1.9192808246e-130,***
highsep,N,6152,,,
highsep,R2,.3451585955463736,,,
