variable,value,se,pval,stars
_cons,.3250471473800526,.0102007215255972,1.1773002147e-216,***
is_se2,.4020402471150596,.0130989621654061,1.4886030619e-201,***
post_fbmc,.199205633627539,.0159702398140388,1.47338198572e-35,***
se2_post,.25053747066295,.021427680795329,1.82769355215e-31,***
wind_log,-.0505699436464137,.0016344358735374,1.0562359564e-204,***
wind_se2,-.0486445011211045,.0019038770208703,2.0913752636e-141,***
wind_post_fbmc,-.0342474790517741,.0024082346785432,1.21793499773e-45,***
wind_se2_post_fbmc,-.0305471059120767,.0029887170642928,1.87378516644e-24,***
consump_log_ds,1.423710004998586,.0242057566130813,0,***
N,35066,,,
R2,.3963673648220248,,,
