p,q,type,variable,value,se,pval
0,0,fit,N,8736,,
0,0,fit,ll,-246.390125121265,,
0,0,fit,AIC,540.78025024253,,
0,0,fit,BIC,710.5852349941624,,
0,0,lbq_std,L1,4075.840216248431,,0
0,0,lbq_sq,L1,.442808374223418,,.5057700780824814
0,0,lbq_std,L2,6654.849875661192,,0
0,0,lbq_sq,L2,8.686584334299495,,.0129936803433983
0,0,lbq_std,L3,8564.829133235675,,0
0,0,lbq_sq,L3,22.01619533496601,,.000064726931549
0,0,lbq_std,L4,10073.88515681081,,0
0,0,lbq_sq,L4,24.16884726018173,,.0000738849692927
0,0,lbq_std,L5,11340.10171123674,,0
0,0,lbq_sq,L5,24.43318267808498,,.0001792071036441
0,0,lbq_std,L10,15886.25629105735,,0
0,0,lbq_sq,L10,28.19203391964126,,.0016817379876247
0,0,lbq_std,L15,19640.18268808232,,0
0,0,lbq_sq,L15,32.95556631881445,,.0047607500835267
0,0,lbq_std,L20,21795.49468413697,,0
0,0,lbq_sq,L20,36.97027408102746,,.0117984368619722
0,0,coef,_cons,2.400590689414114,.5682844532229553,.0000239709551764
0,0,coef,wind_log,-.1766378374346959,.0077316650169204,0
0,0,coef,hydro_log_ds,-1.110781779937339,.1309372482425428,0
0,0,coef,consump_log_ds,2.596679809898919,.1306295832455756,0
0,0,coef,oil_log,-.1474170664654289,.1779977064613295,.4075592607620102
0,0,coef,gas_log,-.2474549932871731,.0716628878071247,.0005543017786629
0,0,coef,netexch_dk1,-.0000183923108231,.0000132986099947,.1666571834963264
0,0,coef,netexch_fi,-.0000385212364074,.0000112117173256,.0005908034391262
0,0,coef,netexch_no1,.0000707968758077,.0000121612475185,5.83168291435e-09
0,0,coef,netexch_se2,.0000313383782099,6.17088167612e-06,3.80570627012e-07
0,0,coef,netexch_se4,-.0000288017201664,6.59621225890e-06,.000012630941433
0,0,var_coef,omega,-12.16149947858809,3.144142746220271,.0001097380560187
0,0,var_coef,arch1,1.356621673884731,.0238493180379561,0
0,0,var_coef,garch1,.0156767164970249,.0122383094142136,.2002096774617932
0,0,var_coef,het_wind_log,.0843943794854376,.0514701105754104,.1010722506944923
0,0,var_coef,het_hydro_log_ds,-.8222214728094592,1.126961742386966,.4656400470649178
0,0,var_coef,het_consump_log_ds,-2.873689095053553,.8075126087739305,.0003727055232157
0,0,var_coef,het_oil_log,2.324281140589467,1.041577017042637,.0256478987490751
0,0,var_coef,het_gas_log,-.5540815635702658,.4372671229860122,.2051028630319278
0,0,var_coef,het_netexch_dk1,-.0000840762357445,.0001253152898692,.5022730123524251
0,0,var_coef,het_netexch_fi,-.0000363986105859,.0000760196556707,.6320771781992227
0,0,var_coef,het_netexch_no1,.0002178963381227,.0000696664529535,.0017617497661313
0,0,var_coef,het_netexch_se2,6.63367520701e-06,.0000461209713173,.8856330705776818
0,0,var_coef,het_netexch_se4,.0001584611681063,.0000522977952556,.0024457156804167
0,0,var_coef,persistence,1.372298390381756,,
0,1,fit,N,8736,,
0,1,fit,ll,2422.826217417219,,
0,1,fit,AIC,-4795.652434834437,,
0,1,fit,BIC,-4618.77224238482,,
0,1,lbq_std,L1,1543.23689838878,,0
0,1,lbq_sq,L1,47.91669002663038,,4.44719742839e-12
0,1,lbq_std,L2,4601.372752375059,,0
0,1,lbq_sq,L2,104.4494466568446,,2.08492693285e-23
0,1,lbq_std,L3,5555.149835840109,,0
0,1,lbq_sq,L3,163.8679343198768,,2.68128921153e-35
0,1,lbq_std,L4,7158.563045210125,,0
0,1,lbq_sq,L4,164.0045337187586,,2.02282332540e-34
0,1,lbq_std,L5,7901.003760151245,,0
0,1,lbq_sq,L5,190.3713264992251,,3.25415738684e-39
0,1,lbq_std,L10,11777.56008436533,,0
0,1,lbq_sq,L10,201.2969348660766,,8.65712211405e-38
0,1,lbq_std,L15,14697.73695209599,,0
0,1,lbq_sq,L15,203.6551081504451,,3.83875088521e-35
0,1,lbq_std,L20,16595.18704620394,,0
0,1,lbq_sq,L20,205.4256898760897,,9.47608270360e-33
0,1,coef,_cons,1.916142533637689,.4555971133547349,.0000260179941105
0,1,coef,wind_log,-.1781462105460458,.0071720087487194,0
0,1,coef,hydro_log_ds,-.945469067360579,.1368716387363078,4.92561547105e-12
0,1,coef,consump_log_ds,2.462201038332465,.0999754465957451,0
0,1,coef,oil_log,.0391663679608307,.1415812727113502,.7820602102298466
0,1,coef,gas_log,-.3115166591215226,.0575777744196879,6.28971321692e-08
0,1,coef,netexch_dk1,-.0000236718113337,.0000107241019672,.0272898454254948
0,1,coef,netexch_fi,-.0000206187494978,8.16130926670e-06,.0115237476246977
0,1,coef,netexch_no1,.0000433569643839,7.52815182521e-06,8.44581804493e-09
0,1,coef,netexch_se2,.0000249572972341,5.09668261265e-06,9.74233245188e-07
0,1,coef,netexch_se4,-.000029934493466,4.74860008102e-06,2.90329316144e-10
0,1,coef,ma_L1,.7189579250348208,.0048608877466397,0
0,1,var_coef,omega,-13.66147408719031,3.70609252957419,.000227609202982
0,1,var_coef,arch1,.5980076289230886,.0242836421356962,0
0,1,var_coef,garch1,.4773583151055393,.0155921466958152,0
0,1,var_coef,het_wind_log,.0085101123213447,.056829222340174,.8809627433344511
0,1,var_coef,het_hydro_log_ds,-1.467212948780809,1.312521311380087,.2636274824469131
0,1,var_coef,het_consump_log_ds,-2.006653111348083,.9734029493231511,.039257034664274
0,1,var_coef,het_oil_log,2.139471552788632,1.224996158675622,.0807218732617214
0,1,var_coef,het_gas_log,.0311446758383592,.5048211621159098,.9508061410483066
