quantile,type,variable,value,se,pval,stars
.1,fit,N,96374,,,
.1,fit,pseudo_r2,-4.516152161399885,,,
.1,lbq,L24,4746.040907557065,,0,***
.1,coef,_cons,-.0980442443490649,.0065022829921478,0,***
.1,coef,wind_log,-.0000495269123633,.0002956839325991,.8669770369360199,
.1,coef,hydro_log_ds,-.0199153626902115,.001777852073843,0,***
.1,coef,consump_log_ds,-.0274319283246009,.0054666707611717,5.22035074280e-07,***
.1,coef,oil_log,.0108171329777262,.0019572171312157,3.26138294149e-08,***
.1,coef,gas_log,.0016651101896264,.000692624762809,.0162141949299388,**
.1,coef,netexch_fi,5.08235502078e-06,6.15295920360e-07,2.22044604925e-16,***
.1,coef,netexch_no4,4.29742449352e-06,1.14838311474e-06,.000182450891959,***
.1,coef,netexch_se2,-5.85477607412e-06,4.46647065693e-07,0,***
.1,coef,ar_L1,1.153122897775979,.0040585781701848,0,***
.1,coef,ar_L2,-.1969425424889797,.0040871546633113,0,***
.25,fit,N,96374,,,
.25,fit,pseudo_r2,-5.277330481424368,,,
.25,lbq,L24,4105.8451830883,,0,***
.25,coef,_cons,-.0382952252327016,.0030635456064201,0,***
.25,coef,wind_log,-.000124456274085,.0001506168383918,.4086279823215635,
.25,coef,hydro_log_ds,-.0074875831236268,.0007820937718626,0,***
.25,coef,consump_log_ds,-.0095446879379622,.0024799620303578,.0001187349765182,***
.25,coef,oil_log,.0047077662618317,.0009232481725093,3.41210719457e-07,***
.25,coef,gas_log,.0004615753058223,.00035567992721,.19438129665952,
.25,coef,netexch_fi,3.78902248500e-06,2.79509402050e-07,0,***
.25,coef,netexch_no4,2.31697377612e-06,5.34072170080e-07,.0000143578696024,***
.25,coef,netexch_se2,-2.87965262402e-06,2.22162282528e-07,0,***
.25,coef,ar_L1,1.204230553489786,.0009942318287846,0,***
.25,coef,ar_L2,-.2263688157367967,.0009251823536186,0,***
.5,fit,N,96374,,,
.5,fit,pseudo_r2,-5.740524342739302,,,
.5,lbq,L24,4495.3250865057,,0,***
.5,coef,_cons,.0047692163752192,.0022533422703102,.0343016468967206,**
.5,coef,wind_log,-.000457138250523,.0001071055844973,.0000197137484095,***
.5,coef,hydro_log_ds,-.0045519688390072,.0006082960145374,7.26085858105e-14,***
.5,coef,consump_log_ds,-.0005389083606588,.0019108945912157,.7779290301955035,
.5,coef,oil_log,.0002748505587341,.0006778268782985,.6851189528391701,
.5,coef,gas_log,-.000512541039245,.0002488156388893,.0394059094782675,**
.5,coef,netexch_fi,1.59640292643e-06,2.03726270001e-07,4.66293670343e-15,***
.5,coef,netexch_no4,1.70968423269e-06,3.75227190513e-07,5.20384150926e-06,***
.5,coef,netexch_se2,-1.91198766028e-06,1.55759775718e-07,0,***
.5,coef,ar_L1,1.225153126409066,.0012909777292385,0,***
.5,coef,ar_L2,-.2359244606010846,.0012690612102927,0,***
.75,fit,N,96374,,,
.75,fit,pseudo_r2,-5.380245475883853,,,
.75,lbq,L24,4664.307483990402,,0,***
.75,coef,_cons,.043137445000452,.0027110109030734,0,***
.75,coef,wind_log,-.0007746206779932,.0001258432127527,7.48680895057e-10,***
.75,coef,hydro_log_ds,-.0035961774318293,.0007295289745354,8.24609569072e-07,***
.75,coef,consump_log_ds,.0109342952398351,.0022815111004427,1.64660600555e-06,***
.75,coef,oil_log,-.0033099951139501,.0008176824542588,.0000516526836394,***
.75,coef,gas_log,-.0018513822182115,.0003079426748325,1.83135062670e-09,***
.75,coef,netexch_fi,4.39388109687e-07,2.49583721108e-07,.0783258037850501,*
.75,coef,netexch_no4,1.84456788137e-06,4.50174954369e-07,.0000417732310845,***
.75,coef,netexch_se2,-1.57539407839e-06,1.86540095515e-07,0,***
.75,coef,ar_L1,1.20171896092347,.0007181656662803,0,***
.75,coef,ar_L2,-.2098827592281318,.0006150490560194,0,***
.9,fit,N,96374,,,
.9,fit,pseudo_r2,-4.297234867070459,,,
.9,lbq,L24,4476.599632928872,,0,***
.9,coef,_cons,.084304562801846,.0059894653208228,0,***
.9,coef,wind_log,-.0029051747560121,.0002803760327107,0,***
.9,coef,hydro_log_ds,-.0048896666886908,.001580362861262,.0019746738006423,***
.9,coef,consump_log_ds,.0389433687665876,.004705386182064,2.22044604925e-16,***
.9,coef,oil_log,-.0045231312782018,.0017920453331347,.011602629730312,**
.9,coef,gas_log,-.0035453221812586,.000659239246343,7.53600073455e-08,***
