spec_num,spec_id,spec_label,variable,coef,se,pval,stars,obs,ll,aic,bic
1,full,Full model (all partners),_cons,2.354867085560083,.8322705,.004662822,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),wind_log,-.1704815332412006,.01599401,0,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),hydro_log_ds,.0526047287349504,.15255494,.7302261,,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),consump_log_ds,.7970596444796931,.14396775,3.0879320e-08,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),oil_log,-.5490347547953626,.27459645,.04556248,**,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),gas_log,.2086024079680315,.13652574,.12652877,,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),netexch_no3,-.0000892229677377,5.0658005e-06,0,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),netexch_no4,-.0000869834062817,6.9739403e-06,0,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),netexch_se1,-.0000611077981372,6.0090674e-06,0,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),netexch_se3,-.0000864397993878,4.8469005e-06,0,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),ar_L1,.9246773004075067,.0076698568,0,***,8736,7140.437,-14254.874,-14162.896
1,full,Full model (all partners),ma_L1,.1981937958459188,.024434561,4.4408921e-16,***,8736,7140.437,-14254.874,-14162.896
2,no_no3,Drop NO3,_cons,2.231886229694576,.86541361,.0099091921,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,wind_log,-.112246705138178,.015853692,1.4399593e-12,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,hydro_log_ds,.0343613494809682,.14213274,.80896974,,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,consump_log_ds,.8114630365361906,.14647637,3.0266154e-08,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,oil_log,-.5693797290049109,.28518546,.045876857,**,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,gas_log,.2307637654744429,.14261429,.1056417,,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,netexch_no4,-.0000308394450351,6.5180411e-06,2.2297929e-06,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,netexch_se1,-.0000151253826654,5.2422411e-06,.0039105397,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,netexch_se3,-.0000282620788379,3.2534183e-06,0,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,ar_L1,.9280863823274518,.0076935636,0,***,8736,7005.3765,-13986.753,-13901.851
2,no_no3,Drop NO3,ma_L1,.187956737252019,.024282467,9.9920072e-15,***,8736,7005.3765,-13986.753,-13901.851
3,no_no4,Drop NO4,_cons,2.362077295428281,.84362841,.0051118038,***,8736,7057.0635,-14090.127,-14005.225
3,no_no4,Drop NO4,wind_log,-.1362790455891778,.016027831,0,***,8736,7057.0635,-14090.127,-14005.225
3,no_no4,Drop NO4,hydro_log_ds,.0777080566433917,.14090097,.58128524,,8736,7057.0635,-14090.127,-14005.225
3,no_no4,Drop NO4,consump_log_ds,.7966771952325543,.14523111,4.1210988e-08,***,8736,7057.0635,-14090.127,-14005.225
3,no_no4,Drop NO4,oil_log,-.5756670891889857,.27821633,.038533449,**,8736,7057.0635,-14090.127,-14005.225
