spec_num,spec_id,spec_label,variable,coef,se,pval,stars,obs,ll,aic,bic
1,full,Full model,_cons,2.208577747788417,.98722643,.025276268,**,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,wind_log,-.1366955972900794,.01475984,0,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,hydro_log_ds,-.4818274195814043,.31092089,.1212187,,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,consump_log_ds,1.59593171889713,.18402489,0,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,oil_log,-.4168347206736699,.33117762,.20815895,,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,gas_log,.1180555893435137,.15114146,.43474764,,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,netexch_dk1,-.0000846525716111,.000011717222,5.0248694e-13,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,netexch_fi,8.19518504667e-07,8.2488523e-06,.92086089,,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,netexch_no1,-.0000269436968223,6.1529049e-06,.000011921394,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,netexch_se2,-.0000258368600749,5.3035565e-06,1.1069234e-06,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,netexch_se4,-.000044193206705,4.7047902e-06,0,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,ar_L1,.9129083880870262,.0071229651,0,***,8736,5402.2354,-10776.471,-10677.418
1,full,Full model,ma_L1,.093606695198781,.01647841,1.3424998e-08,***,8736,5402.2354,-10776.471,-10677.418
2,no_gas,Drop gas,_cons,1.89652202460848,.79830039,.017515711,**,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,wind_log,-.1359698155196294,.014680877,0,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,hydro_log_ds,-.4770497854500585,.30966434,.1234292,,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,consump_log_ds,1.598179881529401,.18424883,0,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,oil_log,-.2419908723785055,.19014879,.20314597,,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,netexch_dk1,-.0000845762417166,.000011717205,5.2713389e-13,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,netexch_fi,8.96187570304e-07,8.2436454e-06,.91343051,,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,netexch_no1,-.0000267869731974,6.1553005e-06,.000013499075,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,netexch_se2,-.0000256796539428,5.3058311e-06,1.2990906e-06,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,netexch_se4,-.0000442084290681,4.7037188e-06,0,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,ar_L1,.9130941535987946,.0071203043,0,***,8736,5401.8735,-10777.747,-10685.77
2,no_gas,Drop gas,ma_L1,.0934728027784623,.016483268,1.4215795e-08,***,8736,5401.8735,-10777.747,-10685.77
3,no_energy,Drop energy prices,_cons,.8881754844593939,.10154096,0,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,wind_log,-.1358431833884318,.014696372,0,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,hydro_log_ds,-.4810724852602716,.31004634,.12075444,,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,consump_log_ds,1.602815326224975,.18469203,0,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,netexch_dk1,-.0000846446059137,.0000117094,4.8738791e-13,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,netexch_fi,8.27861276879e-07,8.2452443e-06,.92002302,,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,netexch_no1,-.0000269076325418,6.1452015e-06,.000011942156,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,netexch_se2,-.000025927008759,5.2890878e-06,9.4874878e-07,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,netexch_se4,-.0000442364594081,4.7047033e-06,0,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,ar_L1,.9133228306439627,.0071105426,0,***,8736,5401.085,-10778.17,-10693.268
3,no_energy,Drop energy prices,ma_L1,.0934719934998441,.016482363,1.4194067e-08,***,8736,5401.085,-10778.17,-10693.268
4,no_trade,Drop trade flows,_cons,.7954078344422714,.10125811,3.9968029e-15,***,8736,5293.3037,-10572.607,-10523.081
4,no_trade,Drop trade flows,wind_log,-.1177687407577358,.014735078,1.3322676e-15,***,8736,5293.3037,-10572.607,-10523.081
4,no_trade,Drop trade flows,hydro_log_ds,-.4992981476167883,.30523327,.10188313,,8736,5293.3037,-10572.607,-10523.081
4,no_trade,Drop trade flows,consump_log_ds,1.5571666955802,.18353155,0,***,8736,5293.3037,-10572.607,-10523.081
4,no_trade,Drop trade flows,ar_L1,.9073971150796931,.007120579,0,***,8736,5293.3037,-10572.607,-10523.081
4,no_trade,Drop trade flows,ma_L1,.1100196444027911,.016207913,1.1368240e-11,***,8736,5293.3037,-10572.607,-10523.081
5,no_demand,Drop consumption,_cons,.6723873968116163,.10536457,1.7532464e-10,***,8736,5227.7676,-10443.535,-10401.084
5,no_demand,Drop consumption,wind_log,-.0994606909900023,.015259759,7.1326278e-11,***,8736,5227.7676,-10443.535,-10401.084
5,no_demand,Drop consumption,hydro_log_ds,-.6777167238479299,.34589908,.050078794,*,8736,5227.7676,-10443.535,-10401.084
5,no_demand,Drop consumption,ar_L1,.9201629001196451,.006050121,0,***,8736,5227.7676,-10443.535,-10401.084
5,no_demand,Drop consumption,ma_L1,.1146255865733141,.015908474,5.7909233e-13,***,8736,5227.7676,-10443.535,-10401.084
6,wind_arma,"Wind + ARMA(1,1) only",_cons,.6703924706329188,.10571604,2.2762014e-10,***,8736,5225.0571,-10440.114,-10404.738
6,wind_arma,"Wind + ARMA(1,1) only",wind_log,-.0991673075968644,.015308435,9.2976071e-11,***,8736,5225.0571,-10440.114,-10404.738
6,wind_arma,"Wind + ARMA(1,1) only",ar_L1,.9210159939631511,.0060105082,0,***,8736,5225.0571,-10440.114,-10404.738
6,wind_arma,"Wind + ARMA(1,1) only",ma_L1,.1145248507730616,.01589896,5.8775207e-13,***,8736,5225.0571,-10440.114,-10404.738
