zone,start_year,end_year,quantile,type,variable,value,se,pval,stars
SE3,2015,2015,.1,fit,N,8732,,,
SE3,2015,2015,.1,lbq,L24,490.9156316623437,,1.28068070070e-88,***
SE3,2015,2015,.1,coef,_cons,-.2632577396897861,.0541158308813104,1.14625646597e-06,***
SE3,2015,2015,.1,coef,wind_log,-.000628302438093,.001820714133905,.7300299326201265,
SE3,2015,2015,.1,coef,hydro_log_ds,-.0259033739602711,.0282195579861764,.3586593160481351,
SE3,2015,2015,.1,coef,consump_log_ds,.1749989575962772,.0285337549839133,8.62098170629e-10,***
SE3,2015,2015,.1,coef,oil_log,.027860025690559,.0151900240974912,.0666391270751376,*
SE3,2015,2015,.1,coef,gas_log,.0318121784455375,.0206094330393535,.1226916447439166,
SE3,2015,2015,.1,coef,netexch_dk1,.0000213411479379,4.25211323540e-06,5.19544008926e-07,***
SE3,2015,2015,.1,coef,netexch_fi,.0000120776726916,5.01286742045e-06,.0159816577773813,**
SE3,2015,2015,.1,coef,netexch_no1,-6.09499737255e-06,1.85215559469e-06,.0009991753584646,***
SE3,2015,2015,.1,coef,netexch_se2,-9.95638272938e-06,1.41884346257e-06,2.26263452419e-12,***
SE3,2015,2015,.1,coef,netexch_se4,-.0000149157447739,2.50553116676e-06,2.63067301276e-09,***
SE3,2015,2015,.1,coef,ar_L1,1.086577846015562,.0140271814457756,0,***
SE3,2015,2015,.1,coef,ar_L2,-.1706171281194205,.0141761851298516,0,***
SE3,2015,2015,.25,fit,N,8732,,,
SE3,2015,2015,.25,lbq,L24,317.6555124346269,,4.59167942139e-53,***
SE3,2015,2015,.25,coef,_cons,-.1156640773483212,.0281822028182503,.0000405798532201,***
SE3,2015,2015,.25,coef,wind_log,-.0007535170890988,.001017126706086,.4587970525699123,
SE3,2015,2015,.25,coef,hydro_log_ds,-.0199863005610544,.0141135470257853,.1567440166598393,
SE3,2015,2015,.25,coef,consump_log_ds,.097933289826357,.0153572955561578,1.80604642352e-10,***
SE3,2015,2015,.25,coef,oil_log,.0089505980427074,.0080044533703403,.2634806089458346,
SE3,2015,2015,.25,coef,gas_log,.0206435283129426,.011623845105376,.0757388812726687,*
SE3,2015,2015,.25,coef,netexch_dk1,8.48943217716e-06,2.31909324549e-06,.0002515578080449,***
SE3,2015,2015,.25,coef,netexch_fi,8.87471499804e-06,2.29285810017e-06,.0001085719986009,***
SE3,2015,2015,.25,coef,netexch_no1,-3.21461298754e-06,1.04685156197e-06,.0021352625332238,***
SE3,2015,2015,.25,coef,netexch_se2,-5.74696608913e-06,7.69468977878e-07,8.10462807976e-14,***
SE3,2015,2015,.25,coef,netexch_se4,-8.85182759799e-06,1.40316245408e-06,2.81782153166e-10,***
SE3,2015,2015,.25,coef,ar_L1,1.150818165163705,.0088896357565111,0,***
SE3,2015,2015,.25,coef,ar_L2,-.2069400334830846,.0090560667095232,0,***
SE3,2015,2015,.5,fit,N,8732,,,
SE3,2015,2015,.5,lbq,L24,362.6537604204757,,3.30888176229e-62,***
SE3,2015,2015,.5,coef,_cons,.0211210829549756,.0206229021662912,.3057612776913561,
SE3,2015,2015,.5,coef,wind_log,-.0003487416564296,.0007255658343449,.6307668030294125,
SE3,2015,2015,.5,coef,hydro_log_ds,-.0354712212452836,.008985578151227,.0000789476130432,***
SE3,2015,2015,.5,coef,consump_log_ds,.0526206711596056,.0113340763286989,3.43892103993e-06,***
SE3,2015,2015,.5,coef,oil_log,.0075320710668479,.0054475896932061,.166774396196637,
