zone,year,variable,adf_stat,adf_pval,adf_lags,adf_stationary,dfgls_stat,dfgls_pval,dfgls_stationary
SE1,2015,price_ds,-7.7628,0.0,32,True,-5.8469,0.0,True
SE1,2015,wind_log,-7.8745,0.0,37,True,-4.1594,0.0,True
SE1,2015,hydro_log_ds,-5.7585,0.0,0,True,-3.9813,0.0001,True
SE1,2015,consump_log_ds,-8.8794,0.0,28,True,-2.3613,0.0183,True
SE1,2015,oil_log,-1.0008,0.753,3,False,-0.2068,0.6181,False
SE1,2015,gas_log,0.8876,0.9929,0,False,1.3868,0.9612,False
SE1,2015,netexch_fi,-9.8073,0.0,36,True,-2.6789,0.0075,True
SE1,2015,netexch_no4,-7.0646,0.0,32,True,-3.0816,0.0022,True
SE1,2015,netexch_se2,-7.7844,0.0,33,True,-3.4081,0.0007,True
SE1,2016,price_ds,-8.0666,0.0,27,True,-6.6091,0.0,True
SE1,2016,wind_log,-9.017,0.0,31,True,-4.3959,0.0,True
SE1,2016,hydro_log_ds,-5.9215,0.0,0,True,-2.9071,0.0038,True
SE1,2016,consump_log_ds,-8.1687,0.0,31,True,-3.836,0.0002,True
SE1,2016,oil_log,-1.0469,0.7358,0,False,-0.1412,0.6429,False
SE1,2016,gas_log,-0.0248,0.9564,0,False,-0.2911,0.5852,False
SE1,2016,netexch_fi,-8.0933,0.0,28,True,-7.7245,0.0,True
SE1,2016,netexch_no4,-8.4671,0.0,33,True,-4.7985,0.0,True
SE1,2016,netexch_se2,-10.4014,0.0,34,True,-5.7185,0.0,True
SE1,2017,price_ds,-10.6215,0.0,26,True,-5.8082,0.0,True
SE1,2017,wind_log,-10.6442,0.0,30,True,-7.0646,0.0,True
SE1,2017,hydro_log_ds,-5.7131,0.0,0,True,-3.6783,0.0003,True
SE1,2017,consump_log_ds,-7.8368,0.0,35,True,-5.045,0.0,True
SE1,2017,oil_log,-1.0234,0.7446,4,False,-1.062,0.2683,False
SE1,2017,gas_log,-0.728,0.8394,0,False,-0.7897,0.3842,False
SE1,2017,netexch_fi,-9.7419,0.0,31,True,-2.1832,0.0291,True
SE1,2017,netexch_no4,-7.753,0.0,35,True,-3.4429,0.0006,True
SE1,2017,netexch_se2,-9.0409,0.0,33,True,-4.2538,0.0,True
SE1,2018,price_ds,-9.811,0.0,29,True,-4.7405,0.0,True
SE1,2018,wind_log,-9.5985,0.0,33,True,-6.8977,0.0,True
SE1,2018,hydro_log_ds,-4.9004,0.0,0,True,-3.851,0.0001,True
SE1,2018,consump_log_ds,-6.3694,0.0,37,True,-4.2068,0.0,True
SE1,2018,oil_log,0.4699,0.9839,30,False,-0.1249,0.6489,False
SE1,2018,gas_log,-1.2022,0.6726,0,False,-0.4595,0.5169,False
SE1,2018,netexch_fi,-11.6655,0.0,33,True,-3.9528,0.0001,True
SE1,2018,netexch_no4,-7.2173,0.0,30,True,-5.4407,0.0,True
SE1,2018,netexch_se2,-6.9311,0.0,33,True,-5.5138,0.0,True
SE1,2019,price_ds,-10.4458,0.0,31,True,-10.386,0.0,True
SE1,2019,wind_log,-8.6497,0.0,36,True,-6.7736,0.0,True
SE1,2019,hydro_log_ds,-6.0329,0.0,0,True,-3.8532,0.0001,True
SE1,2019,consump_log_ds,-6.5516,0.0,35,True,-4.6779,0.0,True
SE1,2019,oil_log,-3.2711,0.0162,8,True,0.0228,0.7014,False
SE1,2019,gas_log,-2.0689,0.2572,0,False,0.0127,0.698,False
SE1,2019,netexch_fi,-10.8983,0.0,29,True,-2.697,0.0071,True
SE1,2019,netexch_no4,-7.4367,0.0,36,True,-2.4499,0.0144,True
SE1,2019,netexch_se2,-9.0757,0.0,33,True,-3.2706,0.0012,True
SE1,2020,price_ds,-8.0345,0.0,27,True,-6.3055,0.0,True
SE1,2020,wind_log,-8.6436,0.0,33,True,-6.3932,0.0,True
SE1,2020,hydro_log_ds,-5.4972,0.0,0,True,-5.1707,0.0,True
SE1,2020,consump_log_ds,-7.0075,0.0,31,True,-6.9477,0.0,True
SE1,2020,oil_log,-1.9773,0.2966,36,False,-0.8456,0.359,False
SE1,2020,gas_log,0.5474,0.9862,1,False,-0.1175,0.6517,False
SE1,2020,netexch_fi,-9.1515,0.0,33,True,-2.1461,0.0319,True
SE1,2020,netexch_no4,-5.5303,0.0,34,True,-3.1534,0.0017,True
SE1,2020,netexch_se2,-10.0521,0.0,31,True,-7.8982,0.0,True
SE1,2021,price_ds,-7.1588,0.0,24,True,-6.9962,0.0,True
SE1,2021,wind_log,-11.108,0.0,26,True,-8.4656,0.0,True
SE1,2021,hydro_log_ds,-5.3811,0.0,24,True,-2.5524,0.0108,True
SE1,2021,consump_log_ds,-6.724,0.0,35,True,-4.0002,0.0001,True
SE1,2021,oil_log,-2.4191,0.1364,28,False,0.422,0.8189,False
SE1,2021,gas_log,-0.4277,0.9054,0,False,0.8456,0.9028,False
SE1,2021,netexch_fi,-7.2633,0.0,27,True,-5.2495,0.0,True
SE1,2021,netexch_no4,-7.469,0.0,25,True,-4.1299,0.0,True
SE1,2021,netexch_se2,-7.4504,0.0,32,True,-6.8175,0.0,True
SE1,2022,price_ds,-9.0207,0.0,25,True,-5.4,0.0,True
SE1,2022,wind_log,-9.5222,0.0,37,True,-5.8215,0.0,True
SE1,2022,hydro_log_ds,-6.4778,0.0,0,True,-4.1475,0.0,True
SE1,2022,consump_log_ds,-6.5867,0.0,32,True,-5.111,0.0,True
SE1,2022,oil_log,-1.9691,0.3003,29,False,-0.9893,0.2973,False
SE1,2022,gas_log,-1.5521,0.5076,0,False,-1.219,0.2112,False
SE1,2022,netexch_fi,-5.4948,0.0,37,True,-4.5039,0.0,True
SE1,2022,netexch_no4,-7.5849,0.0,28,True,-6.397,0.0,True
SE1,2022,netexch_se2,-7.3767,0.0,32,True,-4.97,0.0,True
SE1,2023,price_ds,-8.5864,0.0,26,True,-3.4847,0.0005,True
SE1,2023,wind_log,-8.1149,0.0,37,True,-4.4093,0.0,True
SE1,2023,hydro_log_ds,-5.0906,0.0,0,True,-3.361,0.0008,True
SE1,2023,consump_log_ds,-7.9286,0.0,33,True,-3.6693,0.0003,True
SE1,2023,oil_log,-2.0369,0.2706,8,False,-1.668,0.0935,False
SE1,2023,gas_log,-2.4979,0.116,24,False,-0.1428,0.6423,False
SE1,2023,netexch_fi,-7.8998,0.0,34,True,-4.2445,0.0,True
SE1,2023,netexch_no4,-8.2626,0.0,30,True,-2.8217,0.0049,True
SE1,2023,netexch_se2,-8.1821,0.0,37,True,-6.9687,0.0,True
SE1,2024,price_ds,-9.7166,0.0,25,True,-9.3401,0.0,True
SE1,2024,wind_log,-8.6587,0.0,37,True,-3.3145,0.001,True
SE1,2024,hydro_log_ds,-4.6602,0.0001,0,True,-3.9454,0.0001,True
SE1,2024,consump_log_ds,-7.2399,0.0,26,True,-7.2107,0.0,True
SE1,2024,oil_log,-1.8261,0.3676,17,False,-1.5233,0.1242,False
SE1,2024,gas_log,-0.4317,0.9047,0,False,0.2193,0.7639,False
SE1,2024,netexch_fi,-8.0476,0.0,33,True,-5.0913,0.0,True
SE1,2024,netexch_no4,-7.1975,0.0,31,True,-3.1924,0.0015,True
SE1,2024,netexch_se2,-8.0483,0.0,32,True,-5.2391,0.0,True
SE1,2025,price_ds,-10.3631,0.0,26,True,-10.3351,0.0,True
SE1,2025,wind_log,-8.4549,0.0,37,True,-5.5372,0.0,True
SE1,2025,hydro_log_ds,-5.608,0.0,24,True,-3.5907,0.0004,True
SE1,2025,consump_log_ds,-7.1039,0.0,25,True,-6.8653,0.0,True
SE1,2025,oil_log,-2.0822,0.2517,37,False,-0.838,0.3624,False
SE1,2025,gas_log,-1.5019,0.5325,0,False,0.5924,0.8575,False
SE1,2025,netexch_fi,-7.9587,0.0,33,True,-7.9189,0.0,True
SE1,2025,netexch_no4,-7.5206,0.0,36,True,-4.9542,0.0,True
SE1,2025,netexch_se2,-8.771,0.0,33,True,-8.3707,0.0,True
SE2,2015,price_ds,-7.7615,0.0,32,True,-5.8499,0.0,True
SE2,2015,wind_log,-9.4215,0.0,30,True,-6.7277,0.0,True
SE2,2015,hydro_log_ds,-5.637,0.0,0,True,-3.9282,0.0001,True
SE2,2015,consump_log_ds,-9.7686,0.0,26,True,-3.0311,0.0025,True
SE2,2015,oil_log,-1.0008,0.753,3,False,-0.2068,0.6181,False
SE2,2015,gas_log,0.8876,0.9929,0,False,1.3868,0.9612,False
SE2,2015,netexch_no3,-8.2188,0.0,34,True,-4.7606,0.0,True
SE2,2015,netexch_no4,-8.7575,0.0,31,True,-4.0326,0.0001,True
SE2,2015,netexch_se1,-7.7844,0.0,33,True,-3.4081,0.0007,True
SE2,2015,netexch_se3,-9.0964,0.0,33,True,-2.3767,0.0176,True
SE2,2016,price_ds,-8.0666,0.0,27,True,-6.6091,0.0,True
SE2,2016,wind_log,-8.5573,0.0,31,True,-4.8717,0.0,True
SE2,2016,hydro_log_ds,-5.2943,0.0,24,True,-2.9492,0.0033,True
SE2,2016,consump_log_ds,-8.5214,0.0,31,True,-4.1406,0.0,True
SE2,2016,oil_log,-1.0469,0.7358,0,False,-0.1412,0.6429,False
SE2,2016,gas_log,-0.0248,0.9564,0,False,-0.2911,0.5852,False
SE2,2016,netexch_no3,-9.345,0.0,33,True,-6.1178,0.0,True
SE2,2016,netexch_no4,-9.2451,0.0,36,True,-7.0447,0.0,True
SE2,2016,netexch_se1,-10.4014,0.0,34,True,-5.7185,0.0,True
SE2,2016,netexch_se3,-8.9512,0.0,37,True,-6.9761,0.0,True
SE2,2017,price_ds,-10.6215,0.0,26,True,-5.8082,0.0,True
SE2,2017,wind_log,-10.2751,0.0,32,True,-6.3915,0.0,True
SE2,2017,hydro_log_ds,-5.2484,0.0,0,True,-4.0331,0.0001,True
SE2,2017,consump_log_ds,-8.2961,0.0,25,True,-1.9723,0.0483,True
SE2,2017,oil_log,-1.0234,0.7446,4,False,-1.062,0.2683,False
SE2,2017,gas_log,-0.728,0.8394,0,False,-0.7897,0.3842,False
SE2,2017,netexch_no3,-8.045,0.0,35,True,-2.4759,0.0134,True
SE2,2017,netexch_no4,-7.5679,0.0,30,True,-1.9629,0.0494,True
SE2,2017,netexch_se1,-9.0409,0.0,33,True,-4.2538,0.0,True
SE2,2017,netexch_se3,-10.2526,0.0,33,True,-2.4727,0.0136,True
SE2,2018,price_ds,-9.811,0.0,29,True,-4.7405,0.0,True
SE2,2018,wind_log,-9.3482,0.0,35,True,-7.9644,0.0,True
SE2,2018,hydro_log_ds,-5.8593,0.0,24,True,-4.474,0.0,True
SE2,2018,consump_log_ds,-7.1502,0.0,26,True,-6.9927,0.0,True
SE2,2018,oil_log,0.4699,0.9839,30,False,-0.1249,0.6489,False
SE2,2018,gas_log,-1.2022,0.6726,0,False,-0.4595,0.5169,False
SE2,2018,netexch_no3,-9.1105,0.0,33,True,-3.0802,0.0022,True
SE2,2018,netexch_no4,-10.1448,0.0,30,True,-2.7803,0.0056,True
SE2,2018,netexch_se1,-6.9311,0.0,33,True,-5.5138,0.0,True
SE2,2018,netexch_se3,-7.5138,0.0,33,True,-3.0932,0.0021,True
SE2,2019,price_ds,-10.4455,0.0,31,True,-10.3858,0.0,True
SE2,2019,wind_log,-8.0687,0.0,35,True,-4.4683,0.0,True
SE2,2019,hydro_log_ds,-6.4675,0.0,0,True,-4.5707,0.0,True
SE2,2019,consump_log_ds,-6.9762,0.0,25,True,-4.1606,0.0,True
SE2,2019,oil_log,-3.2711,0.0162,8,True,0.0228,0.7014,False
SE2,2019,gas_log,-2.0689,0.2572,0,False,0.0127,0.698,False
SE2,2019,netexch_no3,-9.7447,0.0,36,True,-3.0069,0.0028,True
