zone,start,end,variable,adf_stat,adf_pval,adf_lags,adf_stationary,dfgls_stat,dfgls_pval,dfgls_stationary
SE1,2015-01-01,2015-12-31,price_ds,-7.7637,0.0,32,True,-5.8479,0.0,True
SE1,2015-01-01,2015-12-31,wind_log,-7.8745,0.0,37,True,-4.1594,0.0,True
SE1,2015-01-01,2015-12-31,hydro_log_ds,-5.7585,0.0,0,True,-3.9813,0.0001,True
SE1,2015-01-01,2015-12-31,consump_log_ds,-8.8977,0.0,28,True,-2.3682,0.018,True
SE1,2015-01-01,2015-12-31,oil_log,-1.0008,0.753,3,False,-0.2068,0.6181,False
SE1,2015-01-01,2015-12-31,gas_log,0.8876,0.9929,0,False,1.3868,0.9612,False
SE1,2015-01-01,2015-12-31,netexch_fi,-9.8073,0.0,36,True,-2.6789,0.0075,True
SE1,2015-01-01,2015-12-31,netexch_no4,-7.0646,0.0,32,True,-3.0816,0.0022,True
SE1,2015-01-01,2015-12-31,netexch_se2,-7.7844,0.0,33,True,-3.4081,0.0007,True
SE1,2015-02-01,2016-01-31,price_ds,-7.8729,0.0,26,True,-7.1931,0.0,True
SE1,2015-02-01,2016-01-31,wind_log,-8.1297,0.0,37,True,-4.8953,0.0,True
SE1,2015-02-01,2016-01-31,hydro_log_ds,-5.7048,0.0,0,True,-3.236,0.0013,True
SE1,2015-02-01,2016-01-31,consump_log_ds,-8.5163,0.0,27,True,-6.6069,0.0,True
SE1,2015-02-01,2016-01-31,oil_log,-0.4231,0.9062,31,False,-0.3502,0.5615,False
SE1,2015-02-01,2016-01-31,gas_log,1.2664,0.9964,0,False,1.9729,0.9873,False
SE1,2015-02-01,2016-01-31,netexch_fi,-9.6571,0.0,37,True,-1.9408,0.0519,False
SE1,2015-02-01,2016-01-31,netexch_no4,-6.3551,0.0,33,True,-2.8513,0.0045,True
SE1,2015-02-01,2016-01-31,netexch_se2,-7.4123,0.0,32,True,-4.2063,0.0,True
SE1,2015-03-01,2016-02-29,price_ds,-7.8603,0.0,26,True,-7.8438,0.0,True
SE1,2015-03-01,2016-02-29,wind_log,-8.6619,0.0,37,True,-4.5471,0.0,True
SE1,2015-03-01,2016-02-29,hydro_log_ds,-5.6363,0.0,0,True,-2.2152,0.0268,True
SE1,2015-03-01,2016-02-29,consump_log_ds,-8.3445,0.0,27,True,-7.8762,0.0,True
SE1,2015-03-01,2016-02-29,oil_log,-0.5679,0.8781,30,False,-0.1628,0.6348,False
SE1,2015-03-01,2016-02-29,gas_log,1.0608,0.9949,0,False,2.9012,0.9982,False
SE1,2015-03-01,2016-02-29,netexch_fi,-9.4713,0.0,36,True,-3.8046,0.0002,True
SE1,2015-03-01,2016-02-29,netexch_no4,-6.9397,0.0,33,True,-2.8126,0.0051,True
SE1,2015-03-01,2016-02-29,netexch_se2,-7.3368,0.0,33,True,-2.8855,0.004,True
SE1,2015-04-01,2016-03-31,price_ds,-7.8688,0.0,26,True,-7.8636,0.0,True
SE1,2015-04-01,2016-03-31,wind_log,-8.5321,0.0,37,True,-6.8416,0.0,True
SE1,2015-04-01,2016-03-31,hydro_log_ds,-5.4428,0.0,0,True,-2.7506,0.0061,True
SE1,2015-04-01,2016-03-31,consump_log_ds,-7.9474,0.0,27,True,-5.6578,0.0,True
SE1,2015-04-01,2016-03-31,oil_log,-0.9563,0.7689,30,False,-0.689,0.4312,False
SE1,2015-04-01,2016-03-31,gas_log,0.495,0.9847,0,False,2.6061,0.9966,False
